X,Y,WHO,COLOR,HEADING,XCOR,YCOR,SHAPE,LABEL,LABELCOLOR,BREED,HIDDEN,SIZE,PENSIZE,PENMODE,NAME,WILNAME,POP,POPTYPE,FORMERBREE
27.526,37.859,979,9.9,333,106.718383174458026,-4.09437494634602484,circle,,9.9,newsites,false,2.5819888974716112,1,up,Magnesia,0,10000,0,orbcities
28.63,36.83,980,9.9,251,118.505482464043567,-15.08072020810649505,circle,,9.9,newsites,false,2.5819888974716112,1,up,Caunus,0,10000,0,orbcities
-6.293,36.529,981,9.9,71,-254.357623052438043,-18.29441303977785793,circle,,9.9,newsites,false,2.3094010767585029,1,up,Gades,0,8000,0,orbcities
-6.347,38.915,982,9.9,352,-254.934165952472142,7.18024176543141834,circle,,9.9,newsites,false,2.3094010767585029,1,up,Emerita Augusta,0,8000,0,orbcities
15.619,41.315,983,9.9,37,-20.409326283055552,32.80437065583474521,circle,,9.9,newsites,false,3.1622776601683795,1,up,Herdoniae,0,15000,0,orbcities
30.607,30.854,984,9.9,56,139.613358637513329,-78.88480114521080111,circle,,9.9,newsites,false,1.9866219234335121,1,up,Naucratis,Naukratis,5920,0,orbcities
22.416,39.639,985,9.9,201,52.160342078640923,14.91018731403646669,circle,,9.9,newsites,false,2.5819888974716112,1,up,Larissa,0,10000,0,orbcities
-6.049,42.462,986,9.9,162,-251.752503281913732,45.05056892137340441,circle,,9.9,newsites,false,2.3094010767585029,1,up,Asturica,0,8000,0,orbcities
14.233,40.84,987,9.9,7,-35.207260717263473,27.73292847960914642,circle,,9.9,newsites,false,4.4721359549995796,1,up,Neapolis,Puteoli,30000,0,orbcities
9.501,40.929,988,9.9,257,-85.729501512842077,28.68315659262825434,circle,,9.9,newsites,false,2.0000000000000000,1,up,Olbia,Olbia,6000,0,orbcities
